Date of Issue,Subject,Brief Description,url,
19-01-2013,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Second Amendment) Regulations, 2013 ",Schedule 5 amended to remove lock in period from paragraph 1 and 1B. Regulation 1B(iii) with respect to long term investors added.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FNT255_240113.pdf,
17-01-2013,"Reporting under Foreign Exchange Management Act, 1999 (FEMA)","Authorised Dealers advised  to  take  necessary  steps  to  ensure  that checks  and  balances  are incorporated   in   systems   relating   to dealing   with   and   reporting   of   foreign exchange  transactions  so that contraventions  of  provisions  of  FEMA,  1999 attributable to the Authorised Dealers do not occur.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CRFEM170113_F.pdf,
10-01-2013,Foreign Direct Investment (FDI) in India - Issue of equity shares under the FDIscheme allowed under the Government route,Conditions with respect to import of capital goods modified to exclude second hand machineries.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APE74FD100113.pdf,
,Uploading of Reports on FINnet Gateway ,"All Authorised Persons, who are Indian agents under MTSS advised to take action as required by FIU-IND and ensure that all reports are submitted in time as per the schedule. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AFINMT110113_F.pdf,
,Uploading of Reports on FINnet Gateway ,All Authorised Persons advised to take action as required by FIU-IND and ensure that all reports are submitted in time as per the schedule.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APFI72110113FC.pdf,
07-01-2013,External Commercial Borrowings (ECB) Policy -Non-Banking Financial Company -InfrastructureFinance Companies (NBFC-IFCs),"The ECB limit for NBFC-IFCs under the automatic route increased from 50 % of their owned funds to 75 % of their owned funds, including the outstanding ECBs. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NBIF070113FS.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Amendment) Regulations, 2013",Schedule 1 amended with respect to Asset Reconstruction Companies. Permitted limit increased to 74% of paid up capital of the ARC (FDI and FII) through the Government route. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/254NOTI190813.pdf,
02-01-2013,"Know Your Customer (KYC) norms/Anti-Money Laundering (AML) standards/Combating the Financing of Terrorism (CFT)/Obligation of Authorised Persons under Prevention of Money Laundering Act, (PMLA), 2002, as amended by Prevention of Money Laundering (Amendment) Act, 2009-Cross Border Inward Remittance under Money Transfer Service Scheme","Specified that if the address on the document submitted for identity proof by the prospective customer is same as that declared by him/her, the document may be accepted as a valid proof of both  identity  and address. Alternatively, if  the  address  indicated  on  the  document  submitted  for identity  proof  differs  from  the  current  address  declared  by  the customer,  a  separate proof of address should be obtained. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APN67020113FL.pdf,
,"Foreign Exchange Management (Deposit) (Amendment) Regulations, 2013",Schedule 3 amended with respect to accounts opened by authorised dealers of individuals of Bangladesh.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOFEMD110213.pdf,
,"Know Your Customer (KYC) norms/Anti-Money Laundering (AML) standards / Combating the Financing of Terrorism (CFT) Obligation of Authorised Persons under Prevention of Money Laundering Act, (PMLA), 2002, as amended by Prevention of Money Laundering(Amendment) Act, 2009 Money changing activities","Specified that if the address on the document submitted for identity proof by the prospective customer is same as that declared by him/her, the document may be accepted as a valid proof of both  identity  and address. Alternatively, if  the  address  indicated  on  the  document  submitted  for identity  proof  differs  from  the  current  address  declared  by  the customer,  a  separate proof of address should be obtained. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APN68020113F.pdf,
01-01-2013,Export of Goods and Services -Simplification and Revision of Softex Procedure at SEZs,"A software exporter either under STPIs or SEZs/EPZs/100%EOU/DTA, whose annual turnover is at least Rs.1000 crore or who files at least 600 SOFTEX forms annually on all India basis, eligible to submit statementsin revised excel format sheets as per enclosed Annexures A & B . ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/SEZ010113ABF.pdf,
20-12-2012,External Commercial Borrowings (ECB) for Micro FinanceInstitutions (MFIs) and Non-Government Organizations (NGOs)-engaged in micro finance activities under Automatic Route,"Extant guidelines as specified in  A.P.  (DIR  Series) Circular  No.  59 dated  December  19,  2011 to continue to apply. Further mentions that ECB by MFIs/NGOs should be fully hedged.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AECBMFI201212.pdf,
17-12-2012,External Commercial Borrowings (ECB) for the low cost affordable housing projects,"ECB permitted for low cost affordable housing projects as a permissible end-use, under the approval route. Contains guidelines for the same.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APE61EC171212.pdf,
14-12-2012,External Commercial Borrowings (ECB) Policy -Review of all-in-cost ceiling,"All-in-cost ceiling as specified in A.P. (DIR Series) Circular No. 99 dated March 30, 2012 to continue to be applicable till March 31, 2013",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APECBP141212_F.pdf,
,Trade Credits for Import into India,Ab initio buyers' credit condition reduced from 15 months to 6 months for existing trade credits.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP337TC141212.pdf,
,Trade Credits for Imports into India-Review of all-in-cost ceiling,"All-in-cost ceiling as specified in A.P. (DIR Series) Circular No. 44 dated November 15, 2011 to continue to be applicable till March 31, 2013.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP58T141212FTC.pdf,
06-12-2012,"Foreign Exchange Management (Borrowing or Lending in Foreign Exchange)(Fourth Amendment) Regulations, 2012",Paragraph 5 of Schedule II omitted.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/250NOT130213.pdf,
,"Foreign Exchange Management (Guarantees) (Third Amendment) Regulations, 2012",Regulation 3A regarding restriction on obtaining overseas guarantee inserted.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/251NOT130213.pdf,
27-11-2012,"Foreign Exchange Management (Borrowing or Lending in Foreign Exchange) (Third Amendment) Regulations, 2012",Paragraph (3)(xiii) inserted in Schedule II with respect to foreign currency borrowings for low cost affordable housing projects.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEM2461712FS.pdf,
26-11-2012,External Commercial Borrowings (ECB) Policy for 2G spectrum allocation ,"Relaxations in the 2G spectrum auction with respect to refinancing of Rupees resources, ECB- liability ratio and percentage of shareholding and Bridge Finance facility",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APE310261112.pdf,
,Liaison Office (LO)/Branch Office (BO) in India by Foreign Entities - Reporting to Income Tax Authorities,Clarification that  copies  of the Annual Activity Certificates (AACs) submitted  to  the  DGIT  (International Taxation)  should  be  accompanied by audited financial statements including receipt and payment account.  ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APD55261112FL.pdf,
22-11-2012,"Foreign Exchange Management (Transfer or Issue of anyForeign Security) (FourthAmendment) Regulations, 2012","Amendment of Regulation 6 permitting ODI by an Indian party in Pakistan under the approval route under Regulation 9. Amednment of Regulation 15 with respect to Annual Performance Report and Annual Return on Foreign Liabilities and Assets. Section E and Section F under Part I of the Form ODI as  notified  vide Notification  No.  FEMA.180/RB-2008  dated September   5,  2008 to be substituted, which substitution to be deemed to have come into effect from August 21, 2012.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NF249280613F.pdf,
20-11-2012,Export of Goods and Software - Realisation andRepatriation of export proceeds - Liberalisation,"The period of realizationand repatriation to India of the amount representing the full export value of goods orsoftware exported, fromsix months to twelve monthsfrom the date of export with effect from October 01, 2012 till March 31, 2013.. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APD52201112.pdf,
15-11-2012,"Know Your Customer (KYC) norms/Anti-Money Laundering (AML)standards / Combating the Financing of Terrorism (CFT) Obligation ofAuthorised Persons under Prevention of Money Laundering Act, (PMLA), 2002,as amended by Prevention of Money Laundering (Amendment) Act, 2009Money changing activities","Certain sections of F-Part-II of the Annexto the A.P. (Dir Series) Circular No. 17 [A.P. (FL/RL Series) Circular No. 04] dated November 27, 2009, as amended by the A.P. (Dir Series) Circular No. 60 dated December 22, 2011 amended. Amended instructions contained in the Annexure.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APC51151112F.pdf,
12-11-2012,"Foreign Exchange Management (Borrowing or Lending in Foreign Exchange)(Second Amendment) Regulations, 2012",Paragraph (3) added to Schedule I with respect to foreign currency borrowings by successful bidders of 2G spectrum reauction.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI245261112.pdf,
07-11-2012,Memorandum of Instructions governing Money Changing Activities ,Authorised Money Changers (AMCs) having multiple branches permitted to put in place a system of Concurrent Audit which will cover 80 per cent of the transactions value-wise under a system of monthly audit and rest 20 per cent of the transactions value-wise under quarterly audit. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CMIGM071112.pdf,
,Money Transfer Service Scheme - List of Sub Agents,List of sub-agents placed on the RBI website. Submission  of list requirements discontinued.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CMTSS071112.pdf,
06-11-2012,External Commercial Borrowings (ECB) Policy - ECB by Small Industries Development Bank of India (SIDBI) ,"SIDBI included as an eligible borrower for availing of ECB for on-lending to MSME sector, as defined under the Micro, Small and Medium Enterprises Development (MSMED) Act, 2006, subject to the stipulated terms and conditions",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP284EC061112.pdf,
23-10-2-12,Supply of Goods and Services by SpecialEconomic Zones (SEZs) to Units in Domestic Tariff Areas(DTAs) against payment in foreign exchange,Authorised Dealers permitted to sell foreign exchange to a unit in the Domestic Tariff Areas for making payment in foreign exchange to a unit in the SEZ for the services rendered by it (i.e.a unit in SEZ) to a DTA unit. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP46231012FL.pdf,
,Export of Goods and Services - Simplification and Revision of Softex Procedure,Revised Softex procedure to be implemented in all Software Technology Parks of India (STPIs) in India.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APE47EG102012.pdf,
22-10-2012,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outsideIndia) (Seventh Amendment) Regulations, 2012",Regulation 5 (1)(iii) added with respect to citizens or entities incorporated in Pakistan permitted to purchase shares and convertible debentures of an Indian company under the FDI Scheme subject to FIPB approval. Schedule 1 amended accordingly.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N244C062813F.pdf,
,Facilities for Persons Resident outside India - FIIs,FIIs permitted to approach any AD Category I bank for hedging their currency risk on the market value of entire investment in equity and/ordebt in India as on a particular date subject to the stipulated conditions,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APE45FC102012.pdf,
19-10-2012,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident Outside India) (Sixth Amendment) Regulations, 2012 ","Regulations 2 and 5 amended with respect to Qualified Foreign Investors. Regulation 10 amended subject to permission regarding transfer of shares or convertible debentures. Regulation 12(iii) added with respect to pledging of shares and convertible debentures by a non resident investor of a company registered in India. Schedule 1 and Schedule 2 also amended.Schedule 5 amended with respect to permission to FIIs, QFIs and other non resident investors for purchase of securities. Schedule 6 amended with respect to investment by FVCIs and Schedule 7 amended with respect to two way fungibility of IDRs.  ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/242NOT231112.pdf,
